index,value
1,8.41
2,8.4
3,8.39
4,8.38
5,8.37
6,8.36
7,8.35
8,8.34
9,8.33
10,8.31
11,8.3
12,8.29
13,8.28
14,8.27
15,8.26
16,8.24
17,8.23
18,8.22
19,8.21
20,8.2
21,8.19
22,8.18
23,8.17
24,8.16
25,8.15
26,8.14
28,8.12
29,8.11
30,8.1
31,8.09
32,8.08
33,8.07
34,8.06
35,8.05
36,8.04
37,8.03
38,8.02
39,8.01
40,8
41,7.99
42,7.98
43,7.97
44,7.96
45,7.95
46,7.94
47,7.93
49,7.92
50,7.91
