index,value
3,8.1
4,8.11
5,8.12
8,8.13
9,8.14
12,8.15
13,8.16
16,8.17
17,8.18
22,8.19
23,8.2
25,8.21
26,8.22
29,8.23
30,8.24
31,8.26
34,8.27
35,8.28
39,8.29
40,8.3
44,8.31
45,8.32
50,8.33
51,8.34
54,8.35
55,8.36
57,8.37
58,8.38
60,8.39
61,8.4
62,8.41
