index,value
3,8.41
4,8.42
6,8.43
7,8.44
9,8.45
10,8.46
12,8.47
13,8.48
14,8.49
15,8.5
16,8.51
17,8.52
18,8.53
19,8.54
20,8.55
21,8.56
22,8.57
23,8.58
24,8.59
25,8.6
26,8.61
27,8.62
28,8.63
29,8.64
30,8.65
31,8.66
32,8.67
33,8.69
34,8.7
35,8.71
36,8.72
37,8.73
38,8.75
39,8.76
40,8.77
41,8.79
42,8.8
43,8.81
44,8.82
45,8.83
46,8.84
47,8.85
48,8.86
49,8.88
50,8.89
51,8.9
52,8.91
