index,value
2,8.1
3,8.08
4,8.07
5,8.06
6,8.05
7,8.04
8,8.03
9,8.02
10,8.01
11,8
12,7.99
13,7.98
14,7.97
15,7.96
16,7.96
17,7.95
18,7.94
19,7.94
20,7.93
21,7.92
22,7.91
23,7.9
24,7.89
25,7.88
26,7.87
27,7.86
28,7.85
29,7.84
30,7.83
31,7.82
32,7.8
33,7.8
