index,value
0,8.1
1,8.1
2,8.1
3,8.1
4,8.1
5,8.1
6,8.1
7,8.11
8,8.11
9,8.12
10,8.13
11,8.13
12,8.14
13,8.15
14,8.16
15,8.17
16,8.18
17,8.18
18,8.19
19,8.2
20,8.21
21,8.22
22,8.23
23,8.24
24,8.25
25,8.26
26,8.27
27,8.28
28,8.29
29,8.3
30,8.31
31,8.32
32,8.33
33,8.34
34,8.35
35,8.36
36,8.37
37,8.37
38,8.38
39,8.39
40,8.4
41,8.4
