index,value
0,8.1
1,8.1
2,8.1
3,8.1
4,8.08
5,8.08
6,8.08
7,8.07
8,8.07
9,8.06
10,8.06
11,8.05
12,8.05
13,8.04
14,8.04
15,8.04
16,8.03
17,8.03
18,8.02
19,8.02
20,8.01
21,8.01
22,8
23,7.99
24,7.99
25,7.99
26,7.98
27,7.97
28,7.97
29,7.96
30,7.95
31,7.95
32,7.94
33,7.93
34,7.92
35,7.91
36,7.9
37,7.89
38,7.89
39,7.88
40,7.87
41,7.86
42,7.85
43,7.85
44,7.84
45,7.84
46,7.84
47,7.83
48,7.83
49,7.82
50,7.82
51,7.81
52,7.81
53,7.8
54,7.8
55,7.8
